file	output
24.krn	{"global_key": "b", "local_keys": {"0.0": "e", "1.0": "e", "2.0": "b", "3.0": "b", "4.0": "b"}}
25.krn	{"global_key": "b", "local_keys": {"0.0": "e", "1.0": "b", "1.5": "b", "2.0": "f#", "3.0": "f#", "4.0": "f#"}}
26.krn	{"global_key": "G", "local_keys": {"0.0": "G", "1.0": "G", "2.0": "G", "2.5": "G", "3.0": "c", "4.0": "f"}}
27.krn	{"global_key": "A", "local_keys": {"0.0": "F", "1.0": "d", "1.5": "d", "2.0": "D", "3.0": "ab", "4.0": "ab"}}
28.krn	{"global_key": "B", "local_keys": {"0.0": "e", "1.0": "e", "2.0": "E", "2.5": "E", "3.0": "eb", "4.0": "eb"}}
29.krn	{"global_key": "bb", "local_keys": {"0.0": "F", "1.0": "F", "2.0": "eb", "3.0": "eb", "4.0": "bb", "5.0": "bb", "6.0": "bb"}}
30.krn	{"global_key": "f", "local_keys": {"0.0": "f", "1.0": "f", "2.0": "bb", "2.5": "bb", "3.0": "f", "4.0": "f"}}
3-10a.krn	{"global_key": "a", "local_keys": {"0.0": "C", "2.0": "a", "4.0": "a", "6.0": "a"}}
3-10b.krn	{"global_key": "G", "local_keys": {"0.0": "G", "2.0": "G", "4.0": "G", "6.0": "G"}}
3-10c.krn	{"global_key": "F", "local_keys": {"0.0": "F", "2.0": "F", "4.0": "F", "6.0": "F", "8.0": "F"}}
3-10d.krn	{"global_key": "f", "local_keys": {"0.0": "f", "2.0": "f", "4.0": "f", "6.0": "f", "8.0": "f"}}
3-14a.krn	{"global_key": "d", "local_keys": {"0.0": "F", "2.0": "d", "4.0": "d"}}
3-14b.krn	{"global_key": "a", "local_keys": {"0.0": "C", "2.0": "a", "4.0": "a"}}
3-14c.krn	{"global_key": "d", "local_keys": {"0.0": "a", "2.0": "d", "4.0": "d"}}
3-14d.krn	{"global_key": "d", "local_keys": {"0.0": "F", "2.0": "d", "4.0": "d"}}
3-14e.krn	{"global_key": "G", "local_keys": {"0.0": "e", "2.0": "e", "4.0": "G", "6.0": "G"}}
3-14f.krn	{"global_key": "C", "local_keys": {"0.0": "a", "2.0": "a", "4.0": "a", "6.0": "C", "8.0": "C"}}
3-14g.krn	{"global_key": "G", "local_keys": {"0.0": "e", "2.0": "e", "4.0": "G", "6.0": "G"}}
3-17a.krn	{"global_key": "d", "local_keys": {"0.0": "a", "2.0": "a", "4.0": "a", "6.0": "a", "8.0": "C", "10.0": "F", "12.0": "F", "14.0": "d", "16.0": "d", "17.0": "d", "18.0": "d"}}
3-17b.krn	{"global_key": "F", "local_keys": {"0.0": "f", "2.0": "F", "4.0": "F", "6.0": "F", "8.0": "F", "10.0": "F", "12.0": "F", "14.0": "F", "16.0": "F", "18.0": "C", "20.0": "C", "22.0": "C", "24.0": "C", "26.0": "C", "28.0": "C"}}
3-17c.krn	{"global_key": "a", "local_keys": {"0.0": "a", "2.0": "a", "4.0": "a", "6.0": "a", "8.0": "a", "10.0": "d", "12.0": "a", "14.0": "a", "16.0": "e", "18.0": "e", "20.0": "G", "22.0": "G", "24.0": "G", "26.0": "G", "28.0": "G"}}
3-17d.krn	{"global_key": "a", "local_keys": {"0.0": "a", "2.0": "a", "4.0": "C", "6.0": "C", "8.0": "C", "10.0": "a", "12.0": "a", "14.0": "a", "16.0": "d", "18.0": "d", "20.0": "a", "22.0": "a", "24.0": "e", "26.0": "e", "28.0": "e", "30.0": "a", "32.0": "a", "34.0": "a", "36.0": "E", "38.0": "E", "40.0": "E", "42.0": "E"}}
31.krn	{"global_key": "c", "local_keys": {"0.0": "C", "1.0": "C", "1.5": "C", "2.0": "f", "2.5": "f", "3.0": "c", "4.0": "c"}}
3-23a.krn	{"global_key": "a", "local_keys": {"0.0": "C", "2.0": "a", "4.0": "a", "6.0": "E", "8.0": "E", "10.0": "E"}}
3-23b.krn	{"global_key": "C", "local_keys": {"0.0": "C", "2.0": "C", "4.0": "C", "6.0": "c", "8.0": "g", "10.0": "g"}}
3-23c.krn	{"global_key": "c", "local_keys": {"0.0": "f", "2.0": "f", "4.0": "f", "6.0": "Eb", "8.0": "Eb", "10.0": "Eb", "12.0": "c", "14.0": "c", "16.0": "c"}}
3-23d.krn	{"global_key": "C", "local_keys": {"0.0": "C", "2.0": "C", "4.0": "C", "6.0": "C", "8.0": "f", "10.0": "f"}}
3-23e.krn	{"global_key": "Bb", "local_keys": {"0.0": "F", "2.0": "F", "4.0": "F", "6.0": "Bb", "8.0": "Bb", "10.0": "Bb", "12.0": "Bb", "14.0": "Bb", "16.0": "Bb"}}
3-23f.krn	{"global_key": "A", "local_keys": {"0.0": "e", "2.0": "e", "4.0": "a", "6.0": "A", "8.0": "A", "10.0": "A", "12.0": "A", "14.0": "A", "16.0": "A"}}
3-23g.krn	{"global_key": "f", "local_keys": {"0.0": "C", "2.0": "C", "4.0": "C", "6.0": "C", "8.0": "C", "10.0": "c", "12.0": "c", "14.0": "c", "16.0": "f", "18.0": "f", "20.0": "f", "22.0": "Db", "24.0": "Db", "26.0": "Db", "28.0": "Db", "30.0": "Db", "32.0": "Db", "34.0": "Db", "36.0": "Db", "38.0": "Db", "40.0": "f", "42.0": "f", "44.0": "f", "46.0": "f", "48.0": "f", "50.0": "C", "52.0": "C", "54.0": "C", "56.0": "C", "58.0": "a", "60.0": "C"}}
3-24a.krn	{"global_key": "Eb", "local_keys": {"0.0": "f", "2.0": "f", "4.0": "Eb", "6.0": "Eb"}}
3-24b.krn	{"global_key": "b", "local_keys": {"0.0": "e", "2.0": "e", "4.0": "e", "6.0": "b", "8.0": "b", "10.0": "b"}}
32.krn	{"global_key": "d", "local_keys": {"0.0": "F", "1.0": "d", "2.0": "d", "3.0": "d", "4.0": "d"}}
33.krn	{"global_key": "G", "local_keys": {"0.0": "G", "1.0": "G", "2.0": "G"}}
34.krn	{"global_key": "c", "local_keys": {"0.0": "f", "1.0": "f", "2.0": "c", "3.0": "c", "4.0": "c"}}
3-5a.krn	{"global_key": "F", "local_keys": {"0.0": "F", "2.0": "F", "4.0": "F", "6.0": "F", "8.0": "F", "10.0": "F", "12.0": "F"}}
3-5b.krn	{"global_key": "f", "local_keys": {"0.0": "f", "2.0": "f", "4.0": "f", "6.0": "f", "8.0": "f", "10.0": "f", "12.0": "f"}}
3-5c.krn	{"global_key": "C", "local_keys": {"0.0": "C", "2.0": "C", "4.0": "C", "6.0": "C", "8.0": "C"}}
3-5d.krn	{"global_key": "C", "local_keys": {"0.0": "C", "2.0": "C", "4.0": "C", "6.0": "C"}}
3-5e.krn	{"global_key": "F", "local_keys": {"0.0": "F", "2.0": "F", "4.0": "F", "6.0": "F", "8.0": "F", "10.0": "F"}}
3-5f.krn	{"global_key": "e", "local_keys": {"0.0": "e", "2.0": "e", "4.0": "e", "6.0": "e"}}
3-5g.krn	{"global_key": "E", "local_keys": {"0.0": "e", "2.0": "E", "4.0": "E", "6.0": "E"}}
3-5h.krn	{"global_key": "F", "local_keys": {"0.0": "F", "2.0": "F", "4.0": "F"}}
35.krn	{"global_key": "f", "local_keys": {"0.0": "f", "1.0": "f", "2.0": "f", "3.0": "f", "4.0": "f"}}
3-6.krn	{"global_key": "G", "local_keys": {"0.0": "G", "2.0": "G", "4.0": "G"}}
36.krn	{"global_key": "bb", "local_keys": {"0.0": "f", "1.0": "bb", "2.0": "bb"}}
3-7.krn	{"global_key": "F", "local_keys": {"0.0": "F", "2.0": "F", "4.0": "F", "6.0": "d", "8.0": "d", "10.0": "d"}}
37.krn	{"global_key": "f", "local_keys": {"1.0": "f", "2.0": "f", "3.0": "f", "3.5": "f", "4.0": "eb"}}
3-8.krn	{"global_key": "F", "local_keys": {"0.0": "F", "2.0": "d", "4.0": "d", "6.0": "d", "8.0": "d", "10.0": "F", "12.0": "F", "14.0": "F"}}
38.krn	{"global_key": "Ab", "local_keys": {"1.0": "f", "2.0": "Ab", "3.0": "Ab", "4.0": "Ab"}}
3-9a.krn	{"global_key": "C", "local_keys": {"0.0": "C", "2.0": "C", "4.0": "C", "6.0": "d"}}
3-9b.krn	{"global_key": "d", "local_keys": {"0.0": "C", "2.0": "C", "4.0": "d", "6.0": "d"}}
39.krn	{"global_key": "Ab", "local_keys": {"0.0": "f", "1.0": "Ab", "2.0": "Ab", "3.0": "Ab", "4.0": "c#"}}
40.krn	{"global_key": "Ab", "local_keys": {"1.0": "f", "2.0": "f", "3.0": "Ab", "4.0": "c#"}}
41.krn	{"global_key": "ab", "local_keys": {"1.0": "f", "2.0": "f", "2.5": "f", "3.0": "B", "4.0": "B"}}
42a.krn	{"global_key": "Ab", "local_keys": {"0.0": "f#", "1.0": "f#", "1.25": "A", "1.5": "C", "2.0": "c", "3.0": "Eb", "4.0": "Eb"}}
42b.krn	{"global_key": "eb", "local_keys": {"0.0": "f#", "1.0": "f#", "1.25": "A", "1.5": "C", "2.0": "c", "3.0": "Eb", "4.0": "eb"}}
43a.krn	{"global_key": "Db", "local_keys": {"0.0": "f#", "1.0": "f#", "1.25": "A", "1.5": "C", "2.0": "C", "3.0": "Ab", "4.0": "Ab"}}
43b.krn	{"global_key": "c#", "local_keys": {"0.0": "f#", "1.0": "f#", "1.25": "f#", "1.5": "b", "2.0": "c#", "3.0": "ab", "4.0": "ab"}}
44a.krn	{"global_key": "f", "local_keys": {"0.0": "f#", "1.0": "f#", "1.25": "A", "1.5": "C", "2.0": "C", "2.5": "c", "3.0": "f", "3.5": "Ab", "4.0": "Db"}}
44b.krn	{"global_key": "Db", "local_keys": {"0.0": "f#", "1.0": "f#", "1.25": "A", "1.5": "C", "2.0": "C", "2.5": "c", "3.0": "f", "3.5": "Ab", "4.0": "c#"}}
45a.krn	{"global_key": "f#", "local_keys": {"0.0": "f#", "1.0": "f#", "1.5": "A", "1.75": "a", "2.0": "C", "3.0": "c", "4.0": "F#", "5.0": "F#", "5.5": "F#", "6.0": "F#"}}
45b.krn	{"global_key": "f#", "local_keys": {"0.0": "f#", "1.0": "f#", "1.5": "A", "1.75": "a", "2.0": "C", "3.0": "c", "4.0": "F#", "5.0": "F#", "5.5": "F#", "6.0": "F#"}}
46a.krn	{"global_key": "f#", "local_keys": {"0.0": "f#", "1.0": "f#", "1.25": "f#", "1.5": "b", "2.0": "Db", "2.5": "Db", "3.0": "F#"}}
46b.krn	{"global_key": "f#", "local_keys": {"0.0": "f#", "1.0": "f#", "1.25": "f#", "1.5": "b", "2.0": "c#", "2.5": "b", "3.0": "b"}}
47.krn	{"global_key": "e", "local_keys": {"0.0": "e", "1.0": "e", "2.0": "e", "3.0": "e", "3.5": "e", "4.0": "e"}}
48.krn	{"global_key": "b", "local_keys": {"0.0": "e", "1.0": "e", "2.0": "b", "3.0": "b", "4.0": "b"}}
49.krn	{"global_key": "f#", "local_keys": {"0.0": "c#", "1.0": "f#", "2.0": "f#", "3.0": "f#", "4.0": "f#"}}
50.krn	{"global_key": "c#", "local_keys": {"0.0": "c#", "1.0": "f#", "2.0": "f#", "3.0": "c#", "3.5": "c#", "4.0": "c#"}}
51.krn	{"global_key": "c#", "local_keys": {"0.0": "c#", "1.0": "f#", "2.0": "f#", "3.0": "ab", "4.0": "ab"}}
52.krn	{"global_key": "ab", "local_keys": {"0.0": "c#", "1.0": "ab", "1.5": "ab", "2.0": "eb", "3.0": "eb", "4.0": "eb"}}
53.krn	{"global_key": "bb", "local_keys": {"0.0": "c#", "1.0": "c#", "2.0": "eb", "3.0": "bb", "3.5": "bb", "4.0": "bb"}}
54.krn	{"global_key": "F", "local_keys": {"0.0": "a", "1.0": "a", "1.5": "a", "2.0": "d", "3.0": "f", "4.0": "f"}}
55.krn	{"global_key": "d", "local_keys": {"0.0": "a", "1.0": "d", "2.0": "d", "3.0": "d", "4.0": "d"}}
56.krn	{"global_key": "d", "local_keys": {"0.0": "a", "1.0": "d", "2.0": "g"}}
57.krn	{"global_key": "C", "local_keys": {"0.0": "C", "1.0": "C", "2.0": "C", "3.0": "C"}}
58.krn	{"global_key": "F", "local_keys": {"0.0": "F", "1.0": "F", "2.0": "f", "3.0": "f"}}
59.krn	{"global_key": "F", "local_keys": {"0.0": "F", "1.0": "F", "2.0": "F", "3.0": "F", "3.5": "F", "4.0": "bb"}}
60.krn	{"global_key": "Bb", "local_keys": {"0.0": "F", "1.0": "Bb", "2.0": "Bb", "3.0": "eb"}}
61.krn	{"global_key": "f", "local_keys": {"0.0": "F", "1.0": "F", "2.0": "Ab", "3.0": "ab"}}
62.krn	{"global_key": "Ab", "local_keys": {"0.0": "F", "1.0": "F", "2.0": "Ab", "3.0": "Ab", "3.5": "Ab", "4.0": "c#"}}
63.krn	{"global_key": "Db", "local_keys": {"0.0": "F", "1.0": "F", "2.0": "Ab", "3.0": "Db", "3.5": "Db", "4.0": "f#", "6.0": "f#"}}
64.krn	{"global_key": "b", "local_keys": {"0.0": "a", "1.0": "a", "2.0": "b", "3.0": "b", "3.5": "b", "4.0": "b"}}
65.krn	{"global_key": "e", "local_keys": {"0.0": "a", "1.0": "a", "2.0": "b", "3.0": "b", "3.5": "b", "4.0": "e", "5.5": "e", "6.0": "e"}}
66.krn	{"global_key": "C", "local_keys": {"0.0": "C", "1.0": "C", "1.5": "C", "2.0": "C", "3.0": "C"}}
67.krn	{"global_key": "G", "local_keys": {"0.0": "G", "1.0": "G", "2.0": "G", "3.0": "G", "4.0": "G"}}
68.krn	{"global_key": "D", "local_keys": {"0.0": "e", "1.0": "e", "1.5": "e", "2.0": "D", "3.0": "D", "3.5": "D", "4.0": "D"}}
69.krn	{"global_key": "A", "local_keys": {"0.0": "a", "1.0": "a", "2.0": "A", "3.0": "A", "3.5": "A", "4.0": "A"}}
70.krn	{"global_key": "E", "local_keys": {"0.0": "c#", "1.0": "E", "2.0": "E"}}
71.krn	{"global_key": "B", "local_keys": {"0.0": "e", "1.0": "e", "2.0": "B", "3.0": "B", "4.0": "B"}}
72.krn	{"global_key": "B", "local_keys": {"0.0": "e", "1.0": "e", "2.0": "B", "3.0": "F#", "4.0": "F#"}}
73.krn	{"global_key": "Db", "local_keys": {"0.0": "c#", "1.0": "f#", "1.5": "f#", "2.0": "Db", "3.0": "Db", "3.5": "Db", "4.0": "Db"}}
74.krn	{"global_key": "c", "local_keys": {"0.0": "a", "1.0": "a", "1.5": "C", "2.0": "Eb", "3.0": "Eb", "4.0": "Eb"}}
75.krn	{"global_key": "a", "local_keys": {"0.0": "a", "1.0": "a", "1.5": "a", "2.0": "d", "3.0": "g"}}
76.krn	{"global_key": "e", "local_keys": {"0.0": "e", "1.0": "e", "2.0": "e", "2.5": "e", "3.0": "a", "4.0": "d"}}
77.krn	{"global_key": "e", "local_keys": {"0.0": "e", "1.0": "e", "2.0": "e", "2.5": "e", "3.0": "C", "4.0": "C", "6.0": "C"}}
78.krn	{"global_key": "F", "local_keys": {"0.0": "F", "1.0": "F", "2.0": "F", "3.0": "F", "4.0": "F"}}
79.krn	{"global_key": "F", "local_keys": {"0.0": "F", "1.0": "F", "1.5": "F", "2.0": "Bb"}}
80.krn	{"global_key": "Bb", "local_keys": {"0.0": "F", "1.0": "Bb", "1.5": "Bb", "2.0": "Eb"}}
81.krn	{"global_key": "f", "local_keys": {"0.0": "F", "1.0": "F", "2.0": "Ab", "3.0": "Ab"}}
82.krn	{"global_key": "bb", "local_keys": {"0.0": "F", "1.0": "Bb", "1.5": "Bb", "2.0": "Bb", "2.5": "Db", "3.0": "Db", "3.5": "Db", "3.75": "Db", "4.0": "Db"}}
83.krn	{"global_key": "bb", "local_keys": {"0.0": "F", "1.0": "Bb", "1.5": "Bb", "2.0": "eb", "3.0": "eb", "4.0": "F#", "6.0": "F#"}}
84.krn	{"global_key": "E", "local_keys": {"0.0": "a", "1.0": "a", "2.0": "B", "3.5": "B", "4.0": "B"}}
85.krn	{"global_key": "e", "local_keys": {"0.0": "a", "1.0": "a", "2.0": "b", "3.0": "b", "3.5": "b", "4.0": "E", "5.5": "E", "6.0": "E"}}
86A.krn	{"global_key": "B", "local_keys": {"0.0": "B", "1.0": "B", "1.5": "B", "2.0": "e", "2.5": "e", "3.0": "B", "4.0": "B", "6.0": "F#"}}
86B.krn	{"global_key": "E", "local_keys": {"0.0": "B", "1.0": "B", "1.5": "B", "2.0": "e", "2.5": "e", "3.0": "E", "4.0": "c#", "6.0": "f#"}}
87A.krn	{"global_key": "B", "local_keys": {"0.0": "B", "1.0": "B", "1.5": "B", "2.0": "e", "2.5": "e", "3.0": "E", "4.0": "Db", "5.0": "Db", "6.0": "Db"}}
87B.krn	{"global_key": "E", "local_keys": {"0.0": "B", "1.0": "B", "1.5": "B", "2.0": "e", "2.5": "e", "3.0": "e", "4.0": "f#", "5.0": "c#", "6.0": "c#"}}
88A.krn	{"global_key": "Bb", "local_keys": {"0.0": "eb", "1.0": "bb", "1.5": "bb", "2.0": "F", "2.5": "d", "3.0": "d", "3.5": "d", "4.0": "g", "6.0": "c"}}
88B.krn	{"global_key": "c#", "local_keys": {"0.0": "F#", "1.0": "F#", "1.5": "F#", "2.0": "Db", "2.5": "f#", "3.0": "c#", "3.5": "c#", "4.0": "ab", "6.0": "ab"}}
89.krn	{"global_key": "c#", "local_keys": {"0.0": "Db", "1.0": "Db", "1.5": "Db", "2.0": "f#", "2.5": "e", "3.0": "e", "4.0": "e"}}
90.krn	{"global_key": "F#", "local_keys": {"0.0": "Db", "1.0": "Db", "1.5": "Db", "2.0": "f#", "2.5": "b", "3.0": "b"}}
91.krn	{"global_key": "f#", "local_keys": {"0.0": "Db", "1.0": "Db", "1.5": "Db", "2.0": "f#", "3.0": "f#", "3.5": "f#", "4.0": "f#"}}
92A.krn	{"global_key": "c#", "local_keys": {"0.0": "c#", "1.0": "c#", "1.5": "c#", "2.0": "f#", "2.5": "f#", "3.0": "Db", "4.0": "Db"}}
92B.krn	{"global_key": "c#", "local_keys": {"0.0": "c#", "1.0": "c#", "1.5": "c#", "2.0": "f#", "2.5": "f#", "3.0": "c#", "4.0": "c#"}}
93A.krn	{"global_key": "c#", "local_keys": {"0.0": "c#", "1.0": "c#", "1.5": "c#", "2.0": "f#", "2.5": "f#", "3.0": "c#", "3.5": "c#", "4.0": "Ab", "6.0": "Ab"}}
93B.krn	{"global_key": "c#", "local_keys": {"0.0": "c#", "1.0": "c#", "1.5": "c#", "2.0": "f#", "2.5": "f#", "3.0": "c#", "3.5": "c#", "4.0": "ab", "6.0": "ab"}}
94A.krn	{"global_key": "c#", "local_keys": {"0.0": "c#", "1.0": "c#", "1.5": "c#", "2.0": "f#", "2.5": "f#", "3.0": "ab", "3.5": "ab", "4.0": "Eb", "6.0": "Eb"}}
