file	output
53.krn	{"global_key": "bb", "local_keys": {"0.0": "c#", "1.0": "c#", "2.0": "eb", "3.0": "bb", "3.5": "bb", "4.0": "bb"}}
54.krn	{"global_key": "F", "local_keys": {"0.0": "a", "1.0": "a", "1.5": "a", "2.0": "d", "3.0": "f", "4.0": "f"}}
55.krn	{"global_key": "d", "local_keys": {"0.0": "a", "1.0": "d", "2.0": "d", "3.0": "d", "4.0": "d"}}
56.krn	{"global_key": "d", "local_keys": {"0.0": "a", "1.0": "d", "2.0": "g"}}
57.krn	{"global_key": "C", "local_keys": {"0.0": "C", "1.0": "C", "2.0": "C", "3.0": "C"}}
58.krn	{"global_key": "F", "local_keys": {"0.0": "F", "1.0": "F", "2.0": "f", "3.0": "f"}}
59.krn	{"global_key": "F", "local_keys": {"0.0": "F", "1.0": "F", "2.0": "F", "3.0": "F", "3.5": "F", "4.0": "bb"}}
60.krn	{"global_key": "Bb", "local_keys": {"0.0": "F", "1.0": "Bb", "2.0": "Bb", "3.0": "eb"}}
61.krn	{"global_key": "f", "local_keys": {"0.0": "F", "1.0": "F", "2.0": "Ab", "3.0": "ab"}}
62.krn	{"global_key": "Ab", "local_keys": {"0.0": "F", "1.0": "F", "2.0": "Ab", "3.0": "Ab", "3.5": "Ab", "4.0": "c#"}}
63.krn	{"global_key": "Db", "local_keys": {"0.0": "F", "1.0": "F", "2.0": "Ab", "3.0": "Db", "3.5": "Db", "4.0": "f#", "6.0": "f#"}}
64.krn	{"global_key": "b", "local_keys": {"0.0": "a", "1.0": "a", "2.0": "b", "3.0": "b", "3.5": "b", "4.0": "b"}}
65.krn	{"global_key": "e", "local_keys": {"0.0": "a", "1.0": "a", "2.0": "b", "3.0": "b", "3.5": "b", "4.0": "e", "5.5": "e", "6.0": "e"}}
66.krn	{"global_key": "C", "local_keys": {"0.0": "C", "1.0": "C", "1.5": "C", "2.0": "C", "3.0": "C"}}
67.krn	{"global_key": "G", "local_keys": {"0.0": "G", "1.0": "G", "2.0": "G", "3.0": "G", "4.0": "G"}}
68.krn	{"global_key": "D", "local_keys": {"0.0": "e", "1.0": "e", "1.5": "e", "2.0": "D", "3.0": "D", "3.5": "D", "4.0": "D"}}
69.krn	{"global_key": "A", "local_keys": {"0.0": "a", "1.0": "a", "2.0": "A", "3.0": "A", "3.5": "A", "4.0": "A"}}
70.krn	{"global_key": "E", "local_keys": {"0.0": "c#", "1.0": "E", "2.0": "E"}}
71.krn	{"global_key": "B", "local_keys": {"0.0": "e", "1.0": "e", "2.0": "B", "3.0": "B", "4.0": "B"}}
72.krn	{"global_key": "B", "local_keys": {"0.0": "e", "1.0": "e", "2.0": "B", "3.0": "F#", "4.0": "F#"}}
73.krn	{"global_key": "Db", "local_keys": {"0.0": "c#", "1.0": "f#", "1.5": "f#", "2.0": "Db", "3.0": "Db", "3.5": "Db", "4.0": "Db"}}
74.krn	{"global_key": "c", "local_keys": {"0.0": "a", "1.0": "a", "1.5": "C", "2.0": "Eb", "3.0": "Eb", "4.0": "Eb"}}
75.krn	{"global_key": "a", "local_keys": {"0.0": "a", "1.0": "a", "1.5": "a", "2.0": "d", "3.0": "g"}}
76.krn	{"global_key": "e", "local_keys": {"0.0": "e", "1.0": "e", "2.0": "e", "2.5": "e", "3.0": "a", "4.0": "d"}}
77.krn	{"global_key": "e", "local_keys": {"0.0": "e", "1.0": "e", "2.0": "e", "2.5": "e", "3.0": "C", "4.0": "C", "6.0": "C"}}
78.krn	{"global_key": "F", "local_keys": {"0.0": "F", "1.0": "F", "2.0": "F", "3.0": "F", "4.0": "F"}}
79.krn	{"global_key": "F", "local_keys": {"0.0": "F", "1.0": "F", "1.5": "F", "2.0": "Bb"}}
80.krn	{"global_key": "Bb", "local_keys": {"0.0": "F", "1.0": "Bb", "1.5": "Bb", "2.0": "Eb"}}
81.krn	{"global_key": "f", "local_keys": {"0.0": "F", "1.0": "F", "2.0": "Ab", "3.0": "Ab"}}
82.krn	{"global_key": "bb", "local_keys": {"0.0": "F", "1.0": "Bb", "1.5": "Bb", "2.0": "Bb", "2.5": "Db", "3.0": "Db", "3.5": "Db", "3.75": "Db", "4.0": "Db"}}
83.krn	{"global_key": "bb", "local_keys": {"0.0": "F", "1.0": "Bb", "1.5": "Bb", "2.0": "eb", "3.0": "eb", "4.0": "F#", "6.0": "F#"}}
84.krn	{"global_key": "E", "local_keys": {"0.0": "a", "1.0": "a", "2.0": "B", "3.5": "B", "4.0": "B"}}
85.krn	{"global_key": "e", "local_keys": {"0.0": "a", "1.0": "a", "2.0": "b", "3.0": "b", "3.5": "b", "4.0": "E", "5.5": "E", "6.0": "E"}}
86A.krn	{"global_key": "B", "local_keys": {"0.0": "B", "1.0": "B", "1.5": "B", "2.0": "e", "2.5": "e", "3.0": "B", "4.0": "B", "6.0": "F#"}}
86B.krn	{"global_key": "E", "local_keys": {"0.0": "B", "1.0": "B", "1.5": "B", "2.0": "e", "2.5": "e", "3.0": "E", "4.0": "c#", "6.0": "f#"}}
87A.krn	{"global_key": "B", "local_keys": {"0.0": "B", "1.0": "B", "1.5": "B", "2.0": "e", "2.5": "e", "3.0": "E", "4.0": "Db", "5.0": "Db", "6.0": "Db"}}
87B.krn	{"global_key": "E", "local_keys": {"0.0": "B", "1.0": "B", "1.5": "B", "2.0": "e", "2.5": "e", "3.0": "e", "4.0": "f#", "5.0": "c#", "6.0": "c#"}}
88A.krn	{"global_key": "Bb", "local_keys": {"0.0": "eb", "1.0": "bb", "1.5": "bb", "2.0": "F", "2.5": "d", "3.0": "d", "3.5": "d", "4.0": "g", "6.0": "c"}}
88B.krn	{"global_key": "c#", "local_keys": {"0.0": "F#", "1.0": "F#", "1.5": "F#", "2.0": "Db", "2.5": "f#", "3.0": "c#", "3.5": "c#", "4.0": "ab", "6.0": "ab"}}
89.krn	{"global_key": "c#", "local_keys": {"0.0": "Db", "1.0": "Db", "1.5": "Db", "2.0": "f#", "2.5": "e", "3.0": "e", "4.0": "e"}}
90.krn	{"global_key": "F#", "local_keys": {"0.0": "Db", "1.0": "Db", "1.5": "Db", "2.0": "f#", "2.5": "b", "3.0": "b"}}
91.krn	{"global_key": "f#", "local_keys": {"0.0": "Db", "1.0": "Db", "1.5": "Db", "2.0": "f#", "3.0": "f#", "3.5": "f#", "4.0": "f#"}}
92A.krn	{"global_key": "c#", "local_keys": {"0.0": "c#", "1.0": "c#", "1.5": "c#", "2.0": "f#", "2.5": "f#", "3.0": "Db", "4.0": "Db"}}
92B.krn	{"global_key": "c#", "local_keys": {"0.0": "c#", "1.0": "c#", "1.5": "c#", "2.0": "f#", "2.5": "f#", "3.0": "c#", "4.0": "c#"}}
93A.krn	{"global_key": "c#", "local_keys": {"0.0": "c#", "1.0": "c#", "1.5": "c#", "2.0": "f#", "2.5": "f#", "3.0": "c#", "3.5": "c#", "4.0": "Ab", "6.0": "Ab"}}
93B.krn	{"global_key": "c#", "local_keys": {"0.0": "c#", "1.0": "c#", "1.5": "c#", "2.0": "f#", "2.5": "f#", "3.0": "c#", "3.5": "c#", "4.0": "ab", "6.0": "ab"}}
94A.krn	{"global_key": "c#", "local_keys": {"0.0": "c#", "1.0": "c#", "1.5": "c#", "2.0": "f#", "2.5": "f#", "3.0": "ab", "3.5": "ab", "4.0": "Eb", "6.0": "Eb"}}
94B.krn	{"global_key": "c#", "local_keys": {"0.0": "c#", "1.0": "c#", "1.5": "c#", "2.0": "f#", "2.5": "f#", "3.0": "ab", "3.5": "ab", "4.0": "eb", "6.0": "eb"}}
95A.krn	{"global_key": "Bb", "local_keys": {"0.0": "F#", "1.0": "B", "1.5": "B", "2.0": "D", "3.0": "F", "4.0": "F", "5.0": "F", "6.0": "Bb"}}
95B.krn	{"global_key": "eb", "local_keys": {"0.0": "F#", "1.0": "B", "1.5": "B", "2.0": "B", "3.0": "bb", "4.0": "bb", "5.0": "bb", "6.0": "bb"}}
96A.krn	{"global_key": "bb", "local_keys": {"0.0": "F#", "1.0": "B", "1.5": "B", "2.0": "B", "3.0": "F", "3.5": "F", "4.0": "Bb", "6.0": "Bb"}}
96B.krn	{"global_key": "eb", "local_keys": {"0.0": "F#", "1.0": "B", "1.5": "B", "2.0": "B", "3.0": "bb", "3.5": "bb", "4.0": "bb", "6.0": "eb"}}
97A.krn	{"global_key": "ab", "local_keys": {"0.0": "F#", "1.0": "B", "1.5": "B", "2.0": "E", "3.0": "a", "3.5": "C", "4.0": "Eb", "5.0": "Eb", "5.5": "Eb", "6.0": "Ab"}}
97B.krn	{"global_key": "eb", "local_keys": {"0.0": "F#", "1.0": "B", "1.5": "B", "2.0": "B", "3.0": "bb", "3.5": "bb", "4.0": "bb", "5.0": "ab", "5.5": "ab", "6.0": "ab"}}
98A.krn	{"global_key": "F#", "local_keys": {"0.0": "F#", "1.0": "B", "2.0": "E", "2.5": "E", "3.0": "E", "3.5": "e", "4.0": "Bb", "4.5": "Bb", "5.0": "Bb", "6.0": "Db", "6.5": "Db", "7.0": "Db"}}
98B.krn	{"global_key": "B", "local_keys": {"0.0": "F#", "1.0": "B", "2.0": "E", "2.5": "E", "3.0": "E", "3.5": "e", "4.0": "Bb", "4.5": "Bb", "5.0": "Bb", "6.0": "Db", "6.5": "Db", "7.0": "Db"}}
99A.krn	{"global_key": "F#", "local_keys": {"0.0": "F#", "1.0": "B", "2.0": "E", "2.5": "E", "3.0": "E", "3.5": "e", "4.0": "Bb", "4.5": "Bb", "5.0": "Bb", "6.0": "Db", "7.0": "Db", "7.5": "Db", "8.0": "F#"}}
99B.krn	{"global_key": "F#", "local_keys": {"0.0": "F#", "1.0": "B", "2.0": "E", "2.5": "E", "3.0": "E", "3.5": "e", "4.0": "Bb", "4.5": "Bb", "5.0": "Bb", "6.0": "Db", "7.0": "Db", "7.5": "Db", "8.0": "f#"}}
